Login,Open Time,Type,Symbol,Volume
119233,2023.05.05 17:34:06,sell,audjpy,0.087423072
119233,2023.05.19 13:05:33,sell,audjpy,0.087423072
986006,2023.08.08 13:34:01,sell,audjpy,0.113887986
986006,2023.08.07 10:39:33,sell limit,audjpy,0.113887986
961796,2023.08.08 09:36:13,sell stop,audjpy,0.116998108
350067,2023.08.09 02:18:34,sell,audjpy,0.085941908
224262,2023.08.09 05:09:24,sell,audjpy,0.091977849
441067,2023.03.24 13:03:28,sell,audjpy,0.093225751
441067,2023.07.04 17:21:27,buy,audjpy,0.093225751
295313,2023.07.31 14:31:25,buy,audnzd,0.086122534
295313,2023.08.01 06:29:57,buy,audnzd,0.086122534
189956,2023.08.09 03:33:31,buy,audnzd,0.085150617
109593,2022.04.06 06:04:01,buy,audusd,1.150846965
187207,2022.04.21 17:00:34,buy,audusd,3.394224712
187207,2022.04.22 18:17:11,buy,audusd,3.394224712
187207,2022.05.05 08:31:01,buy,audusd,3.394224712
109593,2022.10.13 15:50:53,sell,audusd,1.150846965
933278,2023.01.03 11:03:35,buy,audusd,1.051193221
933278,2023.01.03 11:03:46,buy,audusd,1.051193221
933278,2023.01.03 11:04:10,sell,audusd,1.051193221
933278,2023.03.10 03:30:58,sell,audusd,0.105119322
933278,2023.03.10 03:53:13,sell,audusd,0.210238644
933278,2023.03.10 05:00:29,sell,audusd,0.210238644
933278,2023.03.15 19:01:45,sell,audusd,0.210238644
933278,2023.03.15 22:52:51,sell,audusd,0.105119322
933278,2023.04.12 15:34:52,sell,audusd,0.105119322
226914,2023.04.24 16:04:51,sell,audusd,0.09504094
933278,2023.03.15 18:57:56,sell,audusd,0.105119322
226914,2023.05.03 07:29:10,sell,audusd,0.09504094
695374,2022.05.05 00:20:27,buy,audusd,0.085845569
226914,2023.05.16 16:05:04,sell,audusd,0.09504094
226914,2023.05.24 08:07:37,sell,audusd,0.09504094
672179,2023.05.31 09:04:50,sell,audusd,1.074841838
226914,2023.07.13 14:30:04,buy,audusd,0.380163759
189956,2023.07.27 09:33:31,buy,audusd,0.085150617
295313,2023.07.27 14:14:40,buy,audusd,0.086122534
295313,2023.07.27 14:25:14,buy,audusd,0.086122534
825592,2023.07.27 16:01:13,buy,audusd,0.238421674
672179,2023.07.27 18:29:41,buy,audusd,1.074841838
295313,2023.08.01 04:09:58,buy,audusd,0.086122534
295313,2023.08.01 10:40:14,buy,audusd,0.086122534
295313,2023.08.01 06:28:56,buy,audusd,0.086122534
295313,2023.08.01 06:35:32,buy,audusd,0.086122534
174348,2023.08.01 10:48:19,buy,audusd,0.180323205
831069,2023.08.01 11:34:13,buy,audusd,0.118977113
695374,2023.08.01 11:43:31,buy,audusd,0.171691138
386556,2023.08.01 12:06:19,buy,audusd,0.107308557
614628,2023.08.01 12:11:36,buy,audusd,1.001703937
386556,2023.08.02 06:50:49,buy,audusd,0.32192567
332363,2023.08.01 12:23:14,buy,audusd,1.077361583
295313,2023.08.01 13:27:32,buy,audusd,0.086122534
679833,2023.08.01 14:07:58,buy,audusd,0.153585781
716335,2023.08.01 14:24:35,buy,audusd,2.091608567
539154,2023.08.01 14:25:18,buy,audusd,1.126064698
614628,2023.08.01 14:29:44,buy,audusd,1.001703937
332363,2023.08.01 14:33:27,buy,audusd,1.077361583
189956,2023.08.02 05:12:17,buy,audusd,0.085150617
771477,2023.08.01 15:02:42,buy,audusd,1.082270461
539154,2023.08.01 15:04:33,buy,audusd,1.126064698
831069,2023.08.02 08:09:25,buy,audusd,0.237954226
386556,2023.08.01 16:00:18,buy,audusd,0.107308557
335855,2023.08.01 16:00:20,buy,audusd,0.082203343
386556,2023.08.01 16:07:47,buy,audusd,0.107308557
831069,2023.08.02 05:12:19,buy,audusd,0.118977113
295313,2023.08.02 05:11:38,buy,audusd,0.258367601
295313,2023.08.02 06:45:18,buy,audusd,0.258367601
902309,2023.08.02 03:20:03,buy,audusd,0.101012303
457730,2023.08.02 16:10:31,buy,audusd,1.118443778
831069,2023.08.02 16:23:57,buy,audusd,0.118977113
226914,2023.08.04 02:59:54,sell,audusd,0.285122819
226914,2023.08.04 02:59:32,buy,audusd,0.285122819
295313,2023.08.03 06:54:31,buy,audusd,0.086122534
606075,2023.08.04 03:42:07,buy,audusd,0.086751268
695374,2023.08.04 07:56:57,sell,audusd,0.085845569
651363,2023.08.04 12:22:36,sell,audusd,0.082794544
651363,2023.08.04 17:30:40,buy,audusd,0.082794544
174348,2023.08.04 17:58:09,sell,audusd,0.090161602
335855,2023.08.04 17:58:59,buy,audusd,0.082203343
174348,2023.08.04 17:59:16,sell,audusd,0.090161602
961207,2023.08.04 20:52:51,buy,audusd,2.147786938
771477,2023.08.04 20:53:08,buy,audusd,1.082270461
617111,2023.08.04 20:54:04,buy,audusd,2.473952309
825592,2023.07.27 15:59:59,buy,audusd,0.238421674
963182,2023.08.07 01:50:29,buy,audusd,0.981364255
986006,2023.08.07 10:30:09,sell limit,audusd,0.113887986
625176,2023.08.07 14:53:54,buy,audusd,0.237730448
564387,2023.08.07 15:32:16,buy,audusd,0.120565503
335855,2023.08.07 15:36:53,buy,audusd,0.082203343
266461,2023.08.08 03:11:20,buy,audusd,0.641494845
953773,2023.08.08 03:11:32,buy,audusd,0.678540274
716906,2023.08.08 03:17:01,buy,audusd,0.571461861
716335,2023.08.08 03:23:17,buy,audusd,1.045804284
335855,2023.08.08 03:50:16,buy,audusd,0.082203343
539154,2023.08.08 04:23:40,buy,audusd,1.126064698
614628,2023.08.08 04:23:48,buy,audusd,1.001703937
